394, 71, 866, 601
393, 72, 866, 599
394, 76, 866, 599
393, 78, 867, 601
391, 79, 869, 601
393, 81, 865, 600
398, 70, 866, 598
402, 74, 864, 602
402, 71, 868, 597
404, 74, 866, 603
404, 77, 863, 607
403, 86, 863, 611
403, 85, 866, 611
403, 83, 869, 612
408, 80, 870, 605
407, 79, 872, 597
409, 78, 869, 597
406, 83, 869, 605
404, 91, 866, 608
402, 85, 866, 612
406, 87, 865, 614
409, 92, 866, 614
408, 88, 870, 609
409, 89, 868, 612
409, 97, 868, 606
410, 101, 865, 605
408, 100, 869, 606
409, 101, 865, 611
401, 101, 866, 609
403, 108, 868, 608
404, 110, 870, 607
403, 110, 871, 609
404, 106, 873, 603
405, 109, 873, 612
407, 110, 874, 608
407, 108, 873, 608
407, 111, 872, 607
407, 112, 871, 607
406, 110, 872, 609
406, 108, 872, 609
405, 107, 871, 610
407, 109, 870, 611
406, 110, 868, 610
407, 109, 869, 608
406, 111, 869, 613
406, 109, 867, 611
404, 107, 868, 615
412, 111, 864, 609
412, 115, 865, 612
412, 114, 865, 609
415, 110, 869, 609
416, 114, 866, 607
415, 116, 865, 612
410, 111, 864, 612
408, 108, 865, 617
410, 101, 864, 611
409, 102, 859, 608
416, 103, 864, 605
418, 103, 863, 601
416, 103, 869, 598
413, 102, 868, 603
413, 104, 869, 608
415, 107, 864, 611
418, 105, 860, 607
416, 102, 863, 606
418, 102, 866, 609
419, 99, 867, 605
418, 97, 865, 614
415, 93, 865, 610
414, 93, 867, 612
409, 87, 866, 608
409, 87, 863, 607
409, 92, 864, 606
408, 95, 865, 605
406, 91, 867, 606
409, 88, 869, 601
409, 90, 868, 601
410, 89, 868, 604
410, 91, 868, 605
408, 90, 867, 605
407, 89, 868, 604
406, 91, 866, 602
405, 95, 866, 601
405, 95, 867, 601
403, 95, 869, 603
402, 96, 867, 603
400, 93, 868, 600
404, 94, 870, 600
407, 94, 869, 599
405, 89, 871, 599
405, 87, 869, 598
410, 90, 866, 600
409, 87, 866, 599
410, 81, 869, 602
409, 84, 868, 601
412, 88, 869, 606
415, 88, 870, 600
419, 92, 867, 599
418, 92, 870, 598
418, 94, 867, 602
413, 96, 865, 604
416, 102, 865, 606
419, 108, 871, 608
415, 104, 872, 607
419, 107, 871, 600
417, 106, 872, 599
418, 102, 867, 600
420, 102, 865, 605
416, 103, 862, 604
414, 101, 863, 608
412, 102, 868, 611
415, 106, 868, 612
416, 108, 870, 612
417, 105, 868, 609
419, 110, 868, 610
418, 112, 867, 611
416, 112, 865, 616
414, 111, 866, 613
413, 110, 867, 616
414, 108, 870, 612
414, 108, 871, 613
411, 109, 869, 615
415, 109, 869, 612
416, 110, 871, 611
419, 111, 874, 613
418, 112, 873, 614
417, 113, 874, 614
416, 112, 874, 613
413, 111, 872, 612
412, 110, 873, 611
411, 110, 872, 614
413, 111, 873, 613
410, 113, 869, 614
409, 110, 870, 612
407, 110, 868, 613
409, 111, 864, 611
409, 109, 866, 610
413, 111, 867, 607
414, 111, 867, 609
413, 108, 867, 602
416, 105, 867, 602
414, 102, 869, 602
415, 105, 866, 607
413, 101, 866, 607
414, 101, 865, 611
412, 97, 863, 611
411, 103, 864, 611
416, 103, 865, 606
422, 102, 865, 595
423, 105, 868, 594
408, 99, 873, 598
404, 97, 871, 607
407, 96, 868, 604
410, 96, 866, 602
409, 91, 865, 599
409, 90, 866, 597
413, 91, 868, 599
411, 88, 867, 604
409, 83, 869, 601
407, 81, 868, 604
404, 77, 868, 602
403, 78, 869, 602
402, 79, 863, 597
400, 77, 863, 596
399, 77, 866, 593
401, 79, 865, 596
402, 81, 865, 594
404, 84, 868, 602
406, 88, 868, 603
404, 86, 867, 603
404, 88, 867, 605
405, 91, 866, 604
408, 91, 867, 604
408, 91, 867, 603
407, 89, 869, 602
408, 87, 868, 605
408, 87, 867, 605
409, 86, 866, 603
407, 86, 865, 599
405, 84, 863, 596
403, 85, 866, 601
404, 86, 861, 597
407, 91, 861, 601
408, 86, 863, 599
406, 86, 864, 603
410, 89, 866, 602
415, 86, 867, 602
416, 87, 867, 602
415, 88, 868, 597
414, 93, 865, 601
412, 93, 868, 599
411, 97, 868, 604
410, 98, 874, 607
408, 101, 871, 607
412, 100, 871, 606
411, 99, 869, 599
410, 96, 867, 601
411, 95, 865, 605
407, 98, 864, 608
406, 94, 866, 614
408, 100, 869, 616
408, 99, 868, 610
408, 104, 867, 610
411, 105, 871, 608
411, 104, 873, 607
410, 110, 867, 612
409, 111, 870, 615
409, 111, 868, 611
405, 108, 868, 612
405, 108, 872, 615
403, 107, 874, 612
403, 109, 872, 613
402, 108, 873, 615
403, 107, 876, 614
406, 109, 874, 613
406, 106, 874, 613
407, 106, 874, 613
407, 105, 875, 613
406, 108, 874, 613
408, 108, 875, 614
405, 108, 875, 611
405, 109, 875, 610
409, 111, 874, 610
408, 111, 874, 613
410, 111, 873, 614
409, 113, 869, 621
410, 112, 870, 617
412, 129, 853, 624
412, 131, 854, 621
413, 117, 874, 617
